Project Name,Position,Category,Risk,Complexity,Timeline,Notes
Leadership,0.15,Unplanned Work,H,L,next month,Executive leadership initiative
Cyber Transformation,0.25,IS Projects,H,H,on hold,Major security overhaul
LOB Support Model,0.32,IS Projects,L,L,next half,Line of business support
Microsoft 365,0.4,IT/Business Projects,H,H,next year,Office productivity upgrade
Cloud Operating Model,0.55,Unplanned Work,H,H,next quarter,Cloud strategy implementation
New Data Center,0.75,IT/Business Projects,H,H,next year,Infrastructure expansion
Issue Management Program,0.85,IT/Business Projects,H,H,next year,Process improvement initiative
Sector / Government Engagements,0.45,Business-as-Usual,M,M,next quarter,Regulatory compliance
Regulatory Engagement / Assessment,0.35,Business-as-Usual,M,H,next half,Assessment and reporting
Vulnerability Management,0.65,Business-as-Usual,M,M,next quarter,Security operations
